file,IntegratedLUFS,LRA,TruePeak_dBTP,R128_target,R128_gainLU,R128_pass,A85_target,A85_gainLU,A85_pass,TP_overRisk
1kHz Sine -20 LUFS-16bit.wav,-18.7712212157565,2.61157121812516e-05,-19.9463629455627,-23,-4.22877878424349,0,-24,-5.22877878424349,0,0
1kHz Sine -26 LUFS-16bit.wav,-24.7712225944977,5.16685458826771e-05,-25.943270464476,-23,1.77122259449771,0,-24,0.771222594497711,1,0
1kHz Sine -40 LUFS-16bit.wav,-38.8106799451868,4.41749289592508e-05,-39.9463629455627,-23,15.8106799451868,0,-24,14.8106799451868,0,0
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,-19.1057227045304,0.339067069841125,-9.30020125834252,-23,-3.89427729546958,0,-24,-4.89427729546958,0,0
seq-3341-1-16bit.wav,-21.7709548163406,2.32818043492955e-05,-22.9470382757925,-23,-1.22904518365944,0,-24,-2.22904518365944,0,0
seq-3341-10-1-24bit.wav,-22.0901192856295,0.536868017998543,-22.9944721429719,-23,-0.909880714370516,1,-24,-1.90988071437052,0,0
seq-3341-10-10-24bit.wav,-22.0913030876881,1.16991846483265,-22.9944721429719,-23,-0.908696912311925,1,-24,-1.90869691231192,0,0
seq-3341-10-11-24bit.wav,-22.6028281966366,1.7345167811423,-22.9944721429719,-23,-0.39717180336336,1,-24,-1.39717180336336,0,0
seq-3341-10-12-24bit.wav,-22.0913030876881,2.53695289465904,-22.9944721429719,-23,-0.908696912311925,1,-24,-1.90869691231192,0,0
seq-3341-10-13-24bit.wav,-22.0913162768707,3.48235179750725,-22.9944721429719,-23,-0.908683723129258,1,-24,-1.90868372312926,0,0
seq-3341-10-14-24bit.wav,-22.6028281966366,4.74467154411332,-22.9944721429719,-23,-0.39717180336336,1,-24,-1.39717180336336,0,0
seq-3341-10-15-24bit.wav,-22.091303087688,6.16983578929579,-22.9944721429719,-23,-0.908696912311957,1,-24,-1.90869691231196,0,0
seq-3341-10-16-24bit.wav,-22.6028281966367,8.02438936709909,-22.9944721429719,-23,-0.397171803363346,1,-24,-1.39717180336335,0,0
seq-3341-10-17-24bit.wav,-22.0913142164673,10.0698452395827,-22.9944721429719,-23,-0.908685783532732,1,-24,-1.90868578353273,0,0
seq-3341-10-18-24bit.wav,-22.0913030876881,12.7219950522852,-22.9944721429719,-23,-0.908696912311907,1,-24,-1.90869691231191,0,0
seq-3341-10-19-24bit.wav,-22.6028281966366,15.6321478826536,-22.9944721429719,-23,-0.397171803363356,1,-24,-1.39717180336336,0,0
seq-3341-10-2-24bit.wav,-22.0913030874319,0.417820297732888,-22.9944721429719,-23,-0.908696912568082,1,-24,-1.90869691256808,0,0
seq-3341-10-20-24bit.wav,-22.0913030876881,19.2636531774646,-22.9944721429719,-23,-0.908696912311928,1,-24,-1.90869691231193,0,0
seq-3341-10-3-24bit.wav,-22.6028281963805,0.470758477334012,-22.9944721429719,-23,-0.397171803619518,1,-24,-1.39717180361952,0,0
seq-3341-10-4-24bit.wav,-22.0913030876881,0.361301513377278,-22.9944721429719,-23,-0.908696912311942,1,-24,-1.90869691231194,0,0
seq-3341-10-5-24bit.wav,-22.0913162768707,0.416393451325899,-22.9944721429719,-23,-0.908683723129268,1,-24,-1.90868372312927,0,0
seq-3341-10-6-24bit.wav,-22.6028281966366,0.320783518137553,-22.9944721429719,-23,-0.397171803363392,1,-24,-1.39717180336339,0,0
seq-3341-10-7-24bit.wav,-22.091303087688,0.448094105706367,-22.9944721429719,-23,-0.908696912311957,1,-24,-1.90869691231196,0,0
seq-3341-10-8-24bit.wav,-22.6028281966366,0.549697461229311,-22.9944721429719,-23,-0.39717180336336,1,-24,-1.39717180336336,0,0
seq-3341-10-9-24bit.wav,-22.0913142164673,0.724395507115549,-22.9944721429719,-23,-0.908685783532714,1,-24,-1.90868578353271,0,0
seq-3341-11-24bit.wav,-23.6541009160354,34.9744416156718,-18.994475376778,-23,0.654100916035368,1,-24,-0.345899083964632,1,0
seq-3341-12-24bit.wav,-21.7761108844975,0.00654980333295896,-19.9944705540917,-23,-1.22388911550254,0,-24,-2.22388911550254,0,0
seq-3341-13-1-24bit.wav,-21.8010128078895,NaN,-22.9944721429719,-23,-1.19898719211053,0,-24,-2.19898719211053,0,0
seq-3341-13-10-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972899,0,-24,0.820081349728987,1,0
seq-3341-13-11-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972898,0,-24,0.820081349728984,1,0
seq-3341-13-12-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972898,0,-24,0.820081349728977,1,0
seq-3341-13-13-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972897,0,-24,0.820081349728969,1,0
seq-3341-13-14-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972897,0,-24,0.820081349728966,1,0
seq-3341-13-15-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972896,0,-24,0.820081349728955,1,0
seq-3341-13-16-24bit.wav.wav,-24.820081349729,NaN,-22.9944721429719,-23,1.82008134972895,0,-24,0.820081349728952,1,0
seq-3341-13-17-24bit.wav.wav,-24.8200813497289,NaN,-22.9944721429719,-23,1.82008134972894,0,-24,0.820081349728945,1,0
seq-3341-13-18-24bit.wav.wav,-24.8200813497289,NaN,-22.9944721429719,-23,1.82008134972894,0,-24,0.820081349728945,1,0
