file,StartLUFS,Gain_dB,PlaybackLUFS,Pre_dBTP,Post_dBTP,LimiterTriggered
1kHz Sine -20 LUFS-16bit.wav,-18.7712212157565,4.77122121575651,-14,-19.9463629455627,-15.1751417298062,0
1kHz Sine -26 LUFS-16bit.wav,-24.7712225944977,10.7712225944977,-14.0000000000002,-25.943270464476,-15.1720478699783,0
1kHz Sine -40 LUFS-16bit.wav,-38.8106799451868,24.8106799451868,-14.0000000000062,-39.9463629455627,-15.1356830003759,0
EBU-reference_listening_signal_pinknoise_500Hz_2kHz_R128.wav,-19.1057227045304,5.10572270453042,-14,-9.30020125834252,-4.1944785538121,0
seq-3341-1-16bit.wav,-21.7709548163406,7.77095481634056,-14.0000000000001,-22.9470382757925,-15.176083459452,0
seq-3341-10-1-24bit.wav,-22.0901192856295,8.09011928562948,-14.0000000000001,-22.9944721429719,-14.9043528573425,0
seq-3341-10-10-24bit.wav,-22.0913030876881,8.09130308768808,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-11-24bit.wav,-22.6028281966366,8.60282819663664,-14.0000000000002,-22.9944721429719,-14.3916439463353,0
seq-3341-10-12-24bit.wav,-22.0913030876881,8.09130308768808,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-13-24bit.wav,-22.0913162768707,8.09131627687074,-14.0000000000001,-22.9944721429719,-14.9031558661012,0
seq-3341-10-14-24bit.wav,-22.6028281966366,8.60282819663664,-14.0000000000002,-22.9944721429719,-14.3916439463353,0
seq-3341-10-15-24bit.wav,-22.091303087688,8.09130308768804,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-16-24bit.wav,-22.6028281966367,8.60282819663665,-14.0000000000001,-22.9944721429719,-14.3916439463353,0
seq-3341-10-17-24bit.wav,-22.0913142164673,8.09131421646727,-14.0000000000001,-22.9944721429719,-14.9031579265047,0
seq-3341-10-18-24bit.wav,-22.0913030876881,8.09130308768809,-14.0000000000001,-22.9944721429719,-14.9031690552838,0
seq-3341-10-19-24bit.wav,-22.6028281966366,8.60282819663664,-14.0000000000001,-22.9944721429719,-14.3916439463353,0
seq-3341-10-2-24bit.wav,-22.0913030874319,8.09130308743192,-14.0000000000001,-22.9944721429719,-14.90316905554,0
seq-3341-10-20-24bit.wav,-22.0913030876881,8.09130308768807,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-3-24bit.wav,-22.6028281963805,8.60282819638048,-14.0000000000002,-22.9944721429719,-14.3916439465915,0
seq-3341-10-4-24bit.wav,-22.0913030876881,8.09130308768806,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-5-24bit.wav,-22.0913162768707,8.09131627687073,-14.0000000000001,-22.9944721429719,-14.9031558661012,0
seq-3341-10-6-24bit.wav,-22.6028281966366,8.60282819663661,-14.0000000000002,-22.9944721429719,-14.3916439463353,0
seq-3341-10-7-24bit.wav,-22.091303087688,8.09130308768804,-14.0000000000001,-22.9944721429719,-14.9031690552839,0
seq-3341-10-8-24bit.wav,-22.6028281966366,8.60282819663664,-14.0000000000002,-22.9944721429719,-14.3916439463353,0
seq-3341-10-9-24bit.wav,-22.0913142164673,8.09131421646729,-14.0000000000001,-22.9944721429719,-14.9031579265047,0
seq-3341-11-24bit.wav,-23.6541009160354,9.65410091603537,-14.0000000000002,-18.994475376778,-9.34037446074259,0
seq-3341-12-24bit.wav,-21.7761108844975,7.77611088449746,-14.0000000000001,-19.9944705540917,-12.2183596695942,0
seq-3341-13-1-24bit.wav,-21.8010128078895,7.80101280788947,-14.0000000000001,-22.9944721429719,-15.1934593350825,0
seq-3341-13-10-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000002,-22.9944721429719,-12.174390793243,0
seq-3341-13-11-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000002,-22.9944721429719,-12.174390793243,0
seq-3341-13-12-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000002,-22.9944721429719,-12.174390793243,0
seq-3341-13-13-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000003,-22.9944721429719,-12.174390793243,0
seq-3341-13-14-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000003,-22.9944721429719,-12.174390793243,0
seq-3341-13-15-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000003,-22.9944721429719,-12.174390793243,0
seq-3341-13-16-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000003,-22.9944721429719,-12.174390793243,0
seq-3341-13-17-24bit.wav.wav,-24.8200813497289,10.8200813497289,-14.0000000000002,-22.9944721429719,-12.174390793243,0
seq-3341-13-18-24bit.wav.wav,-24.8200813497289,10.8200813497289,-14.0000000000002,-22.9944721429719,-12.174390793243,0
seq-3341-13-19-24bit.wav.wav,-24.8200813497262,10.8200813497262,-14.0000000000002,-22.9944721429719,-12.1743907932458,0
seq-3341-13-2-24bit.wav,-24.8200813425608,10.8200813425608,-14.0000000000002,-22.9944721429719,-12.1743908004112,0
seq-3341-13-20-24bit.wav.wav,-24.8200813499457,10.8200813499457,-14.0000000000003,-22.9944721429719,-12.1743907930262,0
seq-3341-13-3-24bit.wav.wav,-24.8200813495731,10.8200813495731,-14.0000000000003,-22.9944721429719,-12.1743907933989,0
seq-3341-13-4-24bit.wav.wav,-24.8200813497279,10.8200813497279,-14.0000000000002,-22.9944721429719,-12.174390793244,0
seq-3341-13-5-24bit.wav.wav,-24.820081349729,10.820081349729,-14.0000000000002,-22.9944721429719,-12.174390793243,0
