platform,num_items,num_limited,limited_rate,mean_postLUFS,mean_postTP
AppleMusic,51,35,0.686274509803922,-16,3.48809163203096
Spotify,51,38,0.745098039215686,-14,5.48809163203096
YouTube,51,38,0.745098039215686,-14,5.48809163203096
TikTok,51,35,0.686274509803922,-16,3.48809163203096
